cover_text,url,id
"【營養正義】3效頂級8合1賦活青春NMN| 只賺100圓左右合理利潤 | 全成分世界頂尖大廠品牌原料
247%
NT$ 123,816
person
40
人",https://www.zeczec.com/projects/NMN2,NMN2
"【掛繩二刀流】手機 X 證件｜一繩同行、雙面感應，為行動派而生！
910%
NT$ 455,305
person
269
人",https://www.zeczec.com/projects/ZENLET-The-Dual,ZENLET-The-Dual
"【 盆宅 】水晶消磁盆 | 會聚氣的傢飾品，遠景無限盆滿缽滿 | 淨化界的文青公關
305%
NT$ 30,500
person
18
人",https://www.zeczec.com/projects/hhl-penzhai,hhl-penzhai
"【 i wash 薄型洗碗機 】 專為台灣住宅環境設計！超薄型Ｘ大容量Ｘ免安裝
329%
NT$ 329,368
person
16
人",https://www.zeczec.com/projects/scion-36,scion-36
"AMT CUBE 氣動手工實木音響 | 藍牙、USB、AUX、內建電池，全方位使用
294%
NT$ 147,000
person
14
人",https://www.zeczec.com/projects/amt-cube,amt-cube
"【小磚塊-空氣偵測器】工業級精準，超親民價格 | 空氣好不好？清淨機濾網換不換？它說了算！
519%
NT$ 519,250
person
523
人",https://www.zeczec.com/projects/littlebrick,littlebrick
"芮嵐咖啡-阿里山曦霧之晨禮盒｜一人、一杯、品味山嵐間
150%
NT$ 15,028
person
7
人",https://www.zeczec.com/projects/alishan-coffee,alishan-coffee
"棉床本舖【舒芙溫感澎澎被♨】擁有舒芙蕾般軟綿與蓬鬆，被擁入懷抱的感覺真好！
215%
NT$ 215,760
person
52
人",https://www.zeczec.com/projects/anna-souffle,anna-souffle
"「鬆勢出品 必屬佳作」2023 鬆勢三日節
140%
NT$ 140,304
person
63
人",https://www.zeczec.com/projects/sunsetfestival2023,sunsetfestival2023
"群星歸位 • 舊日降臨 | 2024克蘇魯月曆
259%
NT$ 259,262
person
219
人",https://www.zeczec.com/projects/Cthulhu,Cthulhu
"【運動筆記】2024 跑出自己的故事！訓練筆記本套組
139%
NT$ 69,989
person
156
人",https://www.zeczec.com/projects/runningnote2024,runningnote2024
"PAKZONE變量背包｜容量可變、側邊快取、25個收納口袋｜旅行、通勤、日常生活都能輕鬆駕馭
1,090%
NT$ 545,360
person
182
人",https://www.zeczec.com/projects/pakzone,pakzone
"眠璃姫子✝️卒業衣裝募資計劃
420%
NT$ 105,039
person
27
人",https://www.zeczec.com/projects/himekograduate,himekograduate
"正念心卡｜一日正念覺察，從心開始，吳錫昌老師正念態度引導牌卡
425%
NT$ 425,130
person
454
人",https://www.zeczec.com/projects/Mindfulness,Mindfulness
"【翻轉文件夾】背著小廢包，也能攜帶文件圖紙｜輕便手提 x 即時書寫 x 規格不限
261%
NT$ 78,390
person
101
人",https://www.zeczec.com/projects/sn-ovae,sn-ovae
"日本超人氣『ISSENO!塑身蹦蹦墊2.0』，每天15秒開始多功能健身!
424%
NT$ 212,120
person
68
人",https://www.zeczec.com/projects/isseno-2-0,isseno-2-0
"超早鳥延長⚡世界首創『彩色列印』雷射切割機 FLUX Ador｜20W 大功率，一機完成雕、切、印！
4,838%
NT$ 4,838,602
person
120
人",https://www.zeczec.com/projects/flux-ador,flux-ador
"全台獨創【機能型專利益生菌膠原蛋白】市售最強配方｜120億菌從腸胃開始｜由內而外打造您的底氣與外貌
501%
NT$ 50,120
person
43
人",https://www.zeczec.com/projects/cmcmlife,cmcmlife
"【 第二代 FLUSSO 瞬適眼鏡｜舒適再升級】頂尖光學科技 Made in Taiwan
873%
NT$ 873,761
person
209
人",https://www.zeczec.com/projects/gen2flusso,gen2flusso
"《 備份方塊 𝟮 代 》手機自動備份隨身碟｜iPhone / Android 皆可支援！
1,913%
NT$ 1,913,880
person
760
人",https://www.zeczec.com/projects/photocubepdplus,photocubepdplus
"【磨王之胃】Arpha 智慧廚下廚餘機 | 雙層七級研磨「廚餘」磨成0.2cm清除無阻礙
1,233%
NT$ 1,233,600
person
67
人",https://www.zeczec.com/projects/arpha-life,arpha-life
"TIDY 2.0 MANO 栃木小長夾｜日本頂級天然皮革，細緻溫潤手感，最輕巧的口袋長夾！
588%
NT$ 588,079
person
169
人",https://www.zeczec.com/projects/tidy-20-mano,tidy-20-mano
"Sillykids玩弄街道二勢力電輔車
124%
NT$ 373,350
person
9
人",https://www.zeczec.com/projects/sillykids,sillykids
"Peanuts史努比行李箱｜旅行神隊友登場！與Snoopy從輕出發．箱伴旅遊
838%
NT$ 838,058
person
257
人",https://www.zeczec.com/projects/snoopy_suitcase,snoopy_suitcase
"Hunky City: Love as you go 猛男城: 隨心所愛
195%
NT$ 195,571
person
244
人",https://www.zeczec.com/projects/hunkycity,hunkycity
"【首創！增加120%眼周循環的視力救星】 工作狂、3C兒童好「視」發生👀 ｜BOBY 波庇
607%
NT$ 607,955
person
28
人",https://www.zeczec.com/projects/boby,boby
"末日 • 旅行外套 A R K ™｜多口袋、黑魂、末日也能穿
4,506%
NT$ 4,506,440
person
826
人",https://www.zeczec.com/projects/ark,ark
"【TASTE TAIWAN 台灣家香味】正港『台灣味』英文食譜書，全球預購熱賣中！
327%
NT$ 327,295
person
265
人
hourglass_top
6 天",https://www.zeczec.com/projects/taste-taiwan-cookbook,taste-taiwan-cookbook
"LUFT Mask｜零耗材個人智慧空氣管家！PM2.5，異味，過敏源一機搞定！
1,323%
NT$ 1,323,580
person
313
人",https://www.zeczec.com/projects/luft-mask,luft-mask
"Inner Explorer 內在探索家｜全方位人生指引卡
433%
NT$ 159,051
person
88
人",https://www.zeczec.com/projects/Inner-explorer,Inner-explorer
"O'day萬年掛曆｜全新概念再突破，可以多月連動、重複循環使用，一覽全年還能當白板記事的萬年曆
518%
NT$ 259,060
person
115
人",https://www.zeczec.com/projects/RY60601,RY60601
"𝙃𝙞𝙗𝙖̄𝙣𝙜【地表第一支機能與永續終極結合的全循環眼鏡】
1,707%
NT$ 1,707,867
person
591
人",https://www.zeczec.com/projects/Hibang,Hibang
"比小更小｜隨時隨地隨身攜帶｜旅行刮鬍刀
146%
NT$ 146,250
person
156
人",https://www.zeczec.com/projects/shaver,shaver
"回憶捕手 MemCatcher Cross- 全能跨系統資料中心，停止讓回憶散失在設備之間
283%
NT$ 849,228
person
160
人",https://www.zeczec.com/projects/memcatchercross,memcatchercross
"男子POSE集創刊號
627%
NT$ 188,132
person
186
人",https://www.zeczec.com/projects/pose,pose
"【營養正義】再升級8合1頂級葉黃素 | 只賺您100圓左右的合理利潤 | 全成分世界頂尖大廠品牌原料
1,639%
NT$ 819,852
person
289
人",https://www.zeczec.com/projects/lutein3,lutein3
